line_id,product_id,quantity
1,4,161
2,7,196
3,10,150
4,3,132
5,13,188
6,15,106
7,6,213
8,2,139
9,9,105
10,12,214
11,19,163
12,16,173
13,20,211
14,8,184
15,14,129
16,1,130
17,3,233
18,17,144
19,5,185
20,6,154
21,11,248
22,15,121
23,18,111
24,1,153
25,9,204
26,4,134
27,16,231
28,13,102
29,2,110
30,14,250
31,12,250
32,6,143
33,19,134
34,10,186
35,7,184
36,1,170
37,8,240
38,20,180
39,17,223
40,5,236
41,3,184
42,9,209
43,11,221
44,14,228
45,18,103
46,6,181
47,4,150
48,13,102
49,7,222
50,10,230
51,15,108
52,19,236
53,3,196
54,1,150
55,16,143
56,8,249
57,14,219
58,12,245
59,5,174
60,17,217
61,2,213
62,20,240
63,10,195
64,3,103
65,4,212
66,6,211
67,15,114
68,9,146
69,13,136
70,17,240
71,18,162
72,8,141
73,5,135
74,7,212
75,3,142
76,1,165
77,9,167
78,16,119
79,4,171
80,10,192
81,19,243
82,2,118
83,18,158
84,12,148
85,20,147
86,15,144
87,14,129
88,3,134
89,8,121
90,7,159
91,10,101
92,5,167
93,9,189
94,16,151
95,19,201
96,6,162
97,1,195
98,14,237
99,4,118
100,2,215
