shipment_id,date,client_id,location_id,line_id
201,2024-11-28,10,31,94
202,2024-11-28,3,22,83
203,2024-11-28,6,22,5
204,2024-11-28,7,22,54
205,2024-11-28,10,31,96
206,2024-11-28,5,31,24
207,2024-11-28,8,31,47
208,2024-11-28,5,22,43
209,2024-11-28,2,31,38
210,2024-11-28,3,22,64
211,2024-11-28,9,31,66
212,2024-11-28,7,22,18
213,2024-11-28,3,31,59
214,2024-11-28,10,22,53
215,2024-11-28,6,22,29
216,2024-11-28,8,22,41
217,2024-11-28,5,22,94
218,2024-11-28,7,22,24
219,2024-11-28,5,31,2
220,2024-11-28,3,31,30
221,2024-11-28,5,22,95
222,2024-11-28,1,22,11
223,2024-11-28,9,31,10
224,2024-11-28,7,31,95
225,2024-11-28,1,22,95
226,2024-11-28,10,31,90
227,2024-11-28,2,22,60
228,2024-11-28,6,22,81
229,2024-11-28,4,22,32
230,2024-11-28,9,22,42
231,2024-11-28,10,22,71
232,2024-11-28,2,31,57
233,2024-11-28,7,31,5
234,2024-11-28,1,22,80
235,2024-11-28,6,31,54
236,2024-11-28,8,31,2
237,2024-11-28,6,31,51
238,2024-11-28,1,31,94
239,2024-11-28,8,22,51
240,2024-11-28,8,31,33
241,2024-11-28,7,22,8
242,2024-11-28,1,31,87
243,2024-11-28,2,22,89
244,2024-11-28,4,22,54
245,2024-11-28,8,31,44
246,2024-11-28,2,31,83
247,2024-11-28,4,22,46
248,2024-11-28,6,31,20
249,2024-11-28,7,22,47
250,2024-11-28,5,22,90
251,2024-11-28,4,22,35
252,2024-11-28,9,22,77
253,2024-11-28,7,22,22
254,2024-11-28,8,22,77
255,2024-11-28,2,22,98
256,2024-11-28,4,22,12
257,2024-11-28,3,22,64
258,2024-11-28,9,22,73
259,2024-11-28,5,22,95
260,2024-11-28,10,22,72
261,2024-11-28,8,31,75
262,2024-11-28,7,31,63
263,2024-11-28,2,22,41
264,2024-11-28,9,22,55
265,2024-11-28,9,22,79
266,2024-11-28,10,22,62
267,2024-11-28,5,22,60
268,2024-11-28,3,22,58
269,2024-11-28,2,22,30
270,2024-11-28,7,31,40
271,2024-11-28,2,22,90
272,2024-11-28,5,31,71
273,2024-11-28,10,22,18
274,2024-11-28,5,22,87
275,2024-11-28,7,22,97
276,2024-11-28,10,22,65
277,2024-11-28,7,22,36
278,2024-11-28,4,22,58
279,2024-11-28,7,22,16
280,2024-11-28,5,22,15
281,2024-11-28,9,31,93
282,2024-11-28,1,22,35
283,2024-11-28,7,31,93
284,2024-11-28,1,22,82
285,2024-11-28,5,31,19
286,2024-11-28,6,22,8
287,2024-11-28,7,31,65
288,2024-11-28,4,31,40
289,2024-11-28,7,22,55
290,2024-11-28,3,22,14
291,2024-11-28,5,31,83
292,2024-11-28,8,22,43
293,2024-11-28,8,31,52
294,2024-11-28,5,22,1
295,2024-11-28,10,31,27
296,2024-11-28,6,22,32
297,2024-11-28,6,22,1
298,2024-11-28,1,31,98
299,2024-11-28,4,31,25
300,2024-11-28,1,22,22
301,2024-11-28,4,22,66
302,2024-11-28,9,22,50
303,2024-11-28,1,22,89
304,2024-11-28,2,22,84
305,2024-11-28,10,22,39
306,2024-11-28,5,31,75
307,2024-11-28,2,22,1
308,2024-11-28,7,31,37
309,2024-11-28,6,22,1
310,2024-11-28,8,22,36
311,2024-11-28,4,31,88
312,2024-11-28,6,31,42
313,2024-11-28,1,31,33
314,2024-11-28,7,22,39
315,2024-11-28,4,22,61
316,2024-11-28,8,31,39
317,2024-11-28,3,22,95
318,2024-11-28,9,22,81
319,2024-11-28,10,31,81
320,2024-11-28,1,31,64
321,2024-11-28,7,31,32
322,2024-11-28,7,31,51
323,2024-11-28,3,31,89
324,2024-11-28,7,22,39
325,2024-11-28,3,22,2
326,2024-11-28,1,31,65
327,2024-11-28,6,31,85
328,2024-11-28,1,22,1
329,2024-11-28,7,31,59
330,2024-11-28,3,22,86
331,2024-11-28,9,31,78
332,2024-11-28,3,22,73
333,2024-11-28,4,22,1
334,2024-11-28,4,22,47
335,2024-11-28,5,22,84
336,2024-11-28,10,22,34
337,2024-11-28,7,31,11
338,2024-11-28,1,22,42
339,2024-11-28,3,22,57
340,2024-11-28,9,31,32
341,2024-11-28,4,22,25
342,2024-11-28,7,31,32
343,2024-11-28,3,31,8
344,2024-11-28,1,31,87
345,2024-11-28,10,31,87
346,2024-11-28,4,22,68
347,2024-11-28,3,31,96
348,2024-11-28,4,22,57
349,2024-11-28,2,22,7
350,2024-11-28,10,22,85
351,2024-11-28,7,22,68
352,2024-11-28,9,31,64
353,2024-11-28,7,22,96
354,2024-11-28,7,22,76
355,2024-11-28,4,22,54
356,2024-11-28,10,22,12
357,2024-11-28,7,22,38
358,2024-11-28,5,22,79
359,2024-11-28,10,31,74
360,2024-11-28,7,31,60
361,2024-11-28,8,22,11
362,2024-11-28,9,22,87
363,2024-11-28,9,22,94
364,2024-11-28,10,22,79
365,2024-11-28,10,31,31
366,2024-11-28,7,31,42
367,2024-11-28,8,22,12
368,2024-11-28,3,31,81
369,2024-11-28,4,22,12
370,2024-11-28,4,22,87
371,2024-11-28,9,22,18
372,2024-11-28,1,22,71
373,2024-11-28,10,31,83
374,2024-11-28,6,22,80
375,2024-11-28,8,22,97
376,2024-11-28,5,31,63
377,2024-11-28,9,31,99
378,2024-11-28,1,22,92
379,2024-11-28,6,31,37
380,2024-11-28,6,31,83
381,2024-11-28,9,22,76
382,2024-11-28,2,22,48
383,2024-11-28,3,22,24
384,2024-11-28,10,22,36
385,2024-11-28,7,31,66
386,2024-11-28,10,22,23
387,2024-11-28,10,31,28
388,2024-11-28,8,22,29
389,2024-11-28,10,31,82
390,2024-11-28,6,22,84
391,2024-11-28,6,31,18
392,2024-11-28,3,22,59
393,2024-11-28,9,31,84
394,2024-11-28,9,31,12
395,2024-11-28,6,31,49
396,2024-11-28,10,31,85
397,2024-11-28,4,31,67
398,2024-11-28,6,22,56
399,2024-11-28,8,31,20
400,2024-11-28,5,31,59
401,2024-11-28,5,22,42
402,2024-11-28,7,31,87
403,2024-11-28,8,31,30
404,2024-11-28,3,22,53
405,2024-11-28,6,31,7
406,2024-11-28,1,31,74
407,2024-11-28,5,22,38
408,2024-11-28,8,22,56
409,2024-11-28,5,22,13
410,2024-11-28,9,22,16
411,2024-11-28,1,31,17
412,2024-11-28,6,31,62
413,2024-11-28,7,22,20
414,2024-11-28,1,31,10
415,2024-11-28,7,22,7
416,2024-11-28,10,31,2
417,2024-11-28,10,31,65
418,2024-11-28,6,22,89
419,2024-11-28,7,31,47
420,2024-11-28,1,31,1
421,2024-11-28,5,31,17
422,2024-11-28,8,31,86
423,2024-11-28,2,22,9
424,2024-11-28,4,22,89
425,2024-11-28,1,22,78
426,2024-11-28,6,22,60
427,2024-11-28,8,31,67
428,2024-11-28,4,31,55
429,2024-11-28,3,22,10
430,2024-11-28,6,22,45
431,2024-11-28,6,22,27
432,2024-11-28,5,22,10
433,2024-11-28,10,31,86
434,2024-11-28,7,31,71
435,2024-11-28,9,22,96
436,2024-11-28,1,31,56
437,2024-11-28,10,31,47
438,2024-11-28,10,31,10
439,2024-11-28,3,31,18
440,2024-11-28,5,31,32
441,2024-11-28,8,31,56
442,2024-11-28,9,31,20
443,2024-11-28,7,22,68
444,2024-11-28,7,22,45
445,2024-11-28,8,22,80
446,2024-11-28,10,22,42
447,2024-11-28,4,31,97
448,2024-11-28,7,22,47
449,2024-11-28,8,31,39
450,2024-11-28,8,22,27
451,2024-11-28,7,22,22
452,2024-11-28,5,22,64
453,2024-11-28,6,22,72
454,2024-11-28,1,31,85
455,2024-11-28,10,22,36
456,2024-11-28,8,22,35
457,2024-11-28,3,31,77
458,2024-11-28,10,31,66
459,2024-11-28,3,31,79
460,2024-11-28,8,31,94
461,2024-11-28,5,22,8
462,2024-11-28,8,31,79
463,2024-11-28,3,31,35
464,2024-11-28,7,31,80
465,2024-11-28,4,31,66
466,2024-11-28,6,22,77
467,2024-11-28,1,22,61
468,2024-11-28,3,31,74
469,2024-11-28,6,31,23
470,2024-11-28,9,22,34
471,2024-11-28,6,31,93
472,2024-11-28,10,22,71
473,2024-11-28,9,22,85
474,2024-11-28,10,31,61
475,2024-11-28,7,22,95
476,2024-11-28,3,31,16
477,2024-11-28,2,22,10
478,2024-11-28,2,22,59
479,2024-11-28,4,22,38
480,2024-11-28,1,31,85
481,2024-11-28,7,31,64
482,2024-11-28,6,22,31
483,2024-11-28,8,22,54
484,2024-11-28,4,31,44
485,2024-11-28,4,22,54
486,2024-11-28,10,22,35
487,2024-11-28,10,31,1
488,2024-11-28,6,22,69
489,2024-11-28,4,31,78
490,2024-11-28,3,31,99
491,2024-11-28,9,31,60
492,2024-11-28,8,22,58
493,2024-11-28,4,31,91
494,2024-11-28,7,31,99
495,2024-11-28,9,31,42
496,2024-11-28,10,31,5
497,2024-11-28,5,31,89
498,2024-11-28,5,22,66
499,2024-11-28,10,22,63
500,2024-11-28,8,31,77
501,2024-11-28,4,22,92
502,2024-11-28,10,22,38
503,2024-11-28,8,31,41
504,2024-11-28,2,22,24
505,2024-11-28,1,22,27
506,2024-11-28,2,22,7
507,2024-11-28,9,31,59
508,2024-11-28,6,31,66
509,2024-11-28,1,31,73
510,2024-11-28,7,31,17
511,2024-11-28,5,22,14
512,2024-11-28,10,22,53
513,2024-11-28,7,22,34
514,2024-11-28,3,31,15
515,2024-11-28,7,22,89
516,2024-11-28,3,22,58
517,2024-11-28,4,31,46
518,2024-11-28,2,31,55
519,2024-11-28,6,22,53
520,2024-11-28,5,31,80
521,2024-11-28,2,22,82
522,2024-11-28,6,22,3
523,2024-11-28,3,31,53
524,2024-11-28,9,22,77
525,2024-11-28,6,22,62
526,2024-11-28,1,31,79
527,2024-11-28,4,22,30
528,2024-11-28,8,22,16
529,2024-11-28,1,31,6
530,2024-11-28,8,31,44
531,2024-11-28,5,31,55
532,2024-11-28,8,31,75
533,2024-11-28,1,31,42
534,2024-11-28,3,22,14
535,2024-11-28,7,22,16
536,2024-11-28,2,31,7
537,2024-11-28,5,22,98
538,2024-11-28,10,22,78
539,2024-11-28,6,22,39
540,2024-11-28,2,22,7
541,2024-11-28,1,31,83
542,2024-11-28,10,31,19
543,2024-11-28,4,22,40
544,2024-11-28,5,22,26
545,2024-11-28,4,22,76
546,2024-11-28,8,31,36
547,2024-11-28,7,31,32
548,2024-11-28,3,31,46
549,2024-11-28,1,22,98
550,2024-11-28,3,31,1
551,2024-11-28,1,31,97
552,2024-11-28,1,31,2
553,2024-11-28,7,31,39
554,2024-11-28,9,31,40
555,2024-11-28,1,31,14
556,2024-11-28,1,31,63
557,2024-11-28,4,31,13
558,2024-11-28,6,22,15
559,2024-11-28,3,31,89
560,2024-11-28,3,31,8
561,2024-11-28,9,31,13
562,2024-11-28,4,22,91
563,2024-11-28,10,22,53
564,2024-11-28,5,31,40
565,2024-11-28,6,22,34
566,2024-11-28,5,31,52
567,2024-11-28,10,31,80
568,2024-11-28,3,31,2
569,2024-11-28,10,31,73
570,2024-11-28,4,31,46
571,2024-11-28,6,31,74
572,2024-11-28,4,31,26
573,2024-11-28,8,31,13
574,2024-11-28,7,22,5
575,2024-11-28,9,31,79
576,2024-11-28,5,22,4
577,2024-11-28,1,31,53
578,2024-11-28,8,22,88
579,2024-11-28,10,22,46
580,2024-11-28,2,22,87
581,2024-11-28,4,31,7
582,2024-11-28,7,22,80
583,2024-11-28,6,31,7
584,2024-11-28,10,22,83
585,2024-11-28,3,31,59
586,2024-11-28,7,22,41
587,2024-11-28,2,31,58
588,2024-11-28,6,31,98
589,2024-11-28,9,22,9
590,2024-11-28,9,22,78
591,2024-11-28,5,22,51
592,2024-11-28,5,22,30
593,2024-11-28,8,22,61
594,2024-11-28,7,22,57
595,2024-11-28,6,31,57
596,2024-11-28,10,22,42
597,2024-11-28,9,22,67
598,2024-11-28,8,22,37
599,2024-11-28,8,31,56
600,2024-11-28,9,31,7
601,2024-11-28,1,31,43
602,2024-11-28,4,31,24
603,2024-11-28,9,31,23
604,2024-11-28,7,22,50
605,2024-11-28,2,22,98
606,2024-11-28,4,31,4
607,2024-11-28,5,22,24
608,2024-11-28,7,22,69
609,2024-11-28,1,22,43
610,2024-11-28,2,31,16
611,2024-11-28,4,22,23
612,2024-11-28,4,22,66
613,2024-11-28,5,22,40
614,2024-11-28,10,22,6
615,2024-11-28,5,22,66
616,2024-11-28,5,31,67
617,2024-11-28,3,31,6
618,2024-11-28,5,31,5
619,2024-11-28,7,22,2
620,2024-11-28,8,31,45
621,2024-11-28,4,22,79
622,2024-11-28,8,22,12
623,2024-11-28,1,22,90
624,2024-11-28,9,22,45
625,2024-11-28,3,31,57
626,2024-11-28,1,22,8
627,2024-11-28,7,31,90
628,2024-11-28,1,31,49
629,2024-11-28,8,31,89
630,2024-11-28,1,31,86
631,2024-11-28,7,31,71
632,2024-11-28,3,22,30
633,2024-11-28,1,22,52
634,2024-11-28,1,22,86
635,2024-11-28,2,31,27
636,2024-11-28,7,22,14
637,2024-11-28,4,22,5
638,2024-11-28,4,31,96
639,2024-11-28,8,22,69
640,2024-11-28,9,31,3
641,2024-11-28,6,22,21
642,2024-11-28,10,22,76
643,2024-11-28,4,31,59
644,2024-11-28,7,31,35
645,2024-11-28,6,22,12
646,2024-11-28,8,31,66
647,2024-11-28,1,31,34
648,2024-11-28,5,31,89
649,2024-11-28,8,31,82
650,2024-11-28,2,22,98
651,2024-11-28,10,22,88
652,2024-11-28,3,31,66
653,2024-11-28,7,31,68
654,2024-11-28,10,22,75
655,2024-11-28,8,31,49
656,2024-11-28,9,22,73
657,2024-11-28,6,22,62
658,2024-11-28,7,31,46
659,2024-11-28,9,22,14
660,2024-11-28,1,22,41
661,2024-11-28,9,31,49
662,2024-11-28,9,22,61
663,2024-11-28,6,31,74
664,2024-11-28,3,22,83
