product_id,name,price,manufacturing_time,expiration_from_manufacturing
1,Aceite de oliva Virgen Extra,3.75,1,2
2,Galletas María Hacendado,1.2,2,3
3,Queso Manchego,5.5,3,2
4,Yogur griego Danone,0.99,1,3
5,Harina de trigo,1.25,1,3
6,Leche entera Pascual,1.1,1,2
7,Pan de centeno,1.9,1,3
8,Tomate frito Hida,2.5,2,2
9,Chips de patata Pringles,1.99,1,2
10,Chocolate con leche Nestlé,2.99,2,3
11,Miel de flores,3.5,3,3
12,Arroz integral SOS,1.8,1,2
13,Atún en aceite de oliva,2.5,2,2
14,Café molido Marcilla,3.99,1,3
15,Vino tinto Rioja,4.99,1,100
16,Té verde Hornimans,2.5,2,2
17,Cereal de avena Quaker,3.2,2,3
18,Helado Magnum,3.5,3,2
19,Mantequilla Lurpak,2.8,1,2
20,Sopa instantánea Knorr,1.5,2,1
