product_id,name,price,manufacturing_time,expiration_from_manufacturing
1,Pan de molde Bimbo,1.99,2,7
2,Yogur natural Danone,0.89,1,10
3,Leche semidesnatada Hacendado,0.89,3,5
4,Arroz La Fallera,2.50,10,30
5,Chocolates Lindt,3.99,7,60
6,Patatas fritas Lay's,1.99,2,30
7,Tomates en conserva,1.50,5,15
8,Jamón serrano El Pozo,4.99,5,10
9,Leche entera Puleva,1.10,4,6
10,Salsa de tomate Heinz,2.50,7,120
11,Cereal Kellogg's Cornflakes,3.25,10,60
12,Pan integral Hacendado,1.80,3,5
13,Pollo fresco,6.99,2,3
14,Mantequilla Président,2.75,5,15
15,Chistorra La Dama,3.99,4,5
16,Helado Häagen-Dazs,4.50,7,20
17,Ensalada preparada Carrefour,2.99,1,2
18,Zumo de naranja Don Simón,1.20,6,15
19,Leche condensada La Lechera,1.75,8,45
20,Fiambre de pavo,2.50,4,7
